ID,Name,Start time,Duration,Place,Address,Tickets link,Description 1,Hashtags,Prices lower,Prices upper,End time
1,ROCK SYMPHONY,2024-03-17 15:00:00,123,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget508site11514/widget/event/54519?utm_referrer=lviv.kontramarka.ua/uk/rock-symphony-48765.html&siteShowId=48765&siteEventId=195152,ROCK SYMPHONY – Концерт СИЛА!,,450,2700,2024-03-17 17:03:00
2,ROCK SYMPHONY,2024-03-18 19:00:00,123,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget508site11514/widget/event/50432?utm_referrer=lviv.kontramarka.ua/uk/rock-symphony-48765.html&siteShowId=48765&siteEventId=195154,ROCK SYMPHONY – Концерт СИЛА!,,450,2700,2024-03-18 21:03:00
3,ZLATA OGNEVICH,2024-01-30 19:00:00,120,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget11site1001/widget/event/100159070?utm_referrer=lviv.kontramarka.ua/uk/zlata-ognevich-85871.html&siteShowId=85871&siteEventId=184023,30 січня 2024 року у Львівській національній опері відбудеться концерт ZLATA OGNEVICH.,,280,1580,2024-01-30 21:00:00
4,Іван Попович. Велике ювілейне шоу - 50!,2024-02-06 17:00:00,120,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget508site1001/widget/event/100161730?utm_referrer=lviv.kontramarka.ua/uk/ivan-popovic-velike-uvilejne-sou-50-87902.html&siteShowId=87902&siteEventId=193935,6 лютого 2024 року у Львівській національній опері відбудеться концерт Івана Поповича.,,440,1490,2024-02-06 19:00:00
5,АРСЕН МІРЗОЯН,2024-02-12 19:00:00,123,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget511site11278/widget/event/92058?utm_referrer=lviv.kontramarka.ua/uk/arsen-mirzoan-86710.html&siteShowId=86710&siteEventId=186311,12 лютого 2024 року у Львівській національній опері відбудеться концерт Арсена Мірзояна.,,395,1395,2024-02-12 21:03:00
6,Shumei,2024-02-13 19:30:00,120,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget511site1001/widget/event/100161373?utm_referrer=lviv.kontramarka.ua/uk/shumei-88956.html&siteShowId=88956&siteEventId=192532,13 лютого 2024 року у Львівській національній опері відбудеться концерт SHUMEI.,,440,1590,2024-02-13 21:30:00
7,Світові хіти про кохання,2024-02-14 20:00:00,105,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget508site1001/widget/event/100161628?utm_referrer=lviv.kontramarka.ua/uk/svitovi-hiti-pro-kohanna-78861.html&siteShowId=78861&siteEventId=193675,"14 лютого – це День закоханих, який повинен стати для вас та вашої половинки незвичайним. І його легко зробити таким, якщо купити квиток на концерт «Bigshow Orchestra» та «Gaudeamus Choir». Це неймовірне та ідеальне об’єднання різних культурних світів, класики та сучасності, року, хору та оркестру.",,440,1590,2024-02-14 21:45:00
8,NOTRE DAME de PARIS Le Concert,2024-02-25 15:00:00,123,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget508site11278/widget/event/95097?utm_referrer=lviv.kontramarka.ua/uk/notre-dame-de-paris-le-concert-74360.html&siteShowId=74360&siteEventId=189833,25 та 26 лютого 2024 року у Львівській національній опері відбудеться концерт Notre Dame de Paris Le Concert.,,1200,2700,2024-02-25 17:03:00
9,NOTRE DAME de PARIS Le Concert,2024-02-26 19:00:00,123,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget508site11278/widget/event/95099?utm_referrer=lviv.kontramarka.ua/uk/notre-dame-de-paris-le-concert-74360.html&siteShowId=74360&siteEventId=189835,25 та 26 лютого 2024 року у Львівській національній опері відбудеться концерт Notre Dame de Paris Le Concert.,,1200,2700,2024-02-26 21:03:00
10,Ансамбль ім. П. Вірського,2024-02-27 19:00:00,123,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget508site11278/widget/event/97144?utm_referrer=lviv.kontramarka.ua/uk/ansambl-im-p-virskogo-73936.html&siteShowId=73936&siteEventId=192355,,,500,850,2024-02-27 21:03:00
11,МАМАХИХОТАЛА-ШОУ,2024-02-02 19:00:00,120,Арена «Малевич»,"м. Львів, пр-т В'ячеслава Чорновола, 2",https://widget.kontramarka.ua/uk/widget508site1001/widget/event/100161192?utm_referrer=lviv.kontramarka.ua/uk/mamahihotalasou-88662.html&siteShowId=88662&siteEventId=191756,Студія «Мамахихотала» повертається на сцену!,#Гумор ,380,880,2024-02-02 21:00:00
12,KOLA,2024-02-14 19:00:00,123,Арена «Малевич»,"м. Львів, пр-т В'ячеслава Чорновола, 2",https://widget.kontramarka.ua/uk/widget511site11278/widget/event/98990?utm_referrer=lviv.kontramarka.ua/uk/kola-79083.html&siteShowId=79083&siteEventId=194392,14 лютого 2024 року у приміщенні арена “Малевич” відбудеться концерт KOLA у Львові.,,599,1499,2024-02-14 21:03:00
13,Максім Бородін,2024-02-15 19:00:00,120,Арена «Малевич»,"м. Львів, пр-т В'ячеслава Чорновола, 2",,15 лютого 2024 року в приміщенні арена “Малевич” відбудеться концерт Максима Бородіна у Львові.,,350,350,2024-02-15 21:00:00
14,ENLEO. Молодість,2024-02-22 19:00:00,120,Арена «Малевич»,"м. Львів, пр-т В'ячеслава Чорновола, 2",https://widget.kontramarka.ua/uk/widget508site1001/widget/event/100161936?utm_referrer=lviv.kontramarka.ua/uk/enleo-molodist-89675.html&siteShowId=89675&siteEventId=194964,22 лютого 2024 року в приміщенні арена “Малевич” відбудеться концерт ENLEO у Львові.,,400,800,2024-02-22 21:00:00
15,"Beauty event. Для тих, хто творить красу",2024-03-01 14:00:00,480,Арена «Малевич»,"м. Львів, пр-т В'ячеслава Чорновола, 2",https://widget.kontramarka.ua/uk/widget508site11278/widget/event/97820?utm_referrer=lviv.kontramarka.ua/uk/beauty-event-89109.html&siteShowId=89109&siteEventId=193022,"Друзі, запрошуємо Вас на найгарячішу подію року!",,560,1460,2024-03-01 22:00:00
16,FIЇNKA. Гуцулія рулит,2024-03-07 19:00:00,120,Арена «Малевич»,"м. Львів, пр-т В'ячеслава Чорновола, 2",https://widget.kontramarka.ua/uk/widget11site1001/widget/event/100159103?utm_referrer=lviv.kontramarka.ua/uk/fiinka-guculia-rulit-85924.html&siteShowId=85924&siteEventId=184175,7 березня 2024 року в арена “Малевич” відбудеться концерт FIÏNKA у Львові.,,440,790,2024-03-07 21:00:00
17,Христина Соловій,2024-03-14 18:30:00,180,Арена «Малевич»,"м. Львів, пр-т В'ячеслава Чорновола, 2",https://widget.kontramarka.ua/uk/widget11site1001/widget/event/100158810?utm_referrer=lviv.kontramarka.ua/uk/hristina-solovij-58148.html&siteShowId=58148&siteEventId=182399,,#Поп ,450,990,2024-03-14 21:30:00
18,Jerry Heil,2024-03-26 19:00:00,80,Арена «Малевич»,"м. Львів, пр-т В'ячеслава Чорновола, 2",https://widget.kontramarka.ua/uk/widget508site1008/widget/event/100162070?utm_referrer=lviv.kontramarka.ua/uk/jerry-heil-89838.html&siteShowId=89838&siteEventId=195423,«Jerry Heil розпочинає тур Україною з новим форматом виступу!,,590,1290,2024-03-26 20:20:00
19,ТеСАМЕШоу,2024-02-21 19:00:00,80,Палац культури залізничників «Рокс»,"м. Львів. вул. Ю. Федьковича, 54",https://widget.kontramarka.ua/uk/widget511site1008/widget/event/100161801?utm_referrer=lviv.kontramarka.ua/uk/tesamesou-80019.html&siteShowId=80019&siteEventId=194250,"Львів, ТЕСАМЕШОУ підготували для вас ВЕЛИКИЙ КОНЦЕРТ-ЗЙОМКУ, на вас чекають найсмішніші жарти, пісні та монолог від Владзя. Якщо ж ви такі варʼяти, як і ми, приходьте обовʼязково в Палац культури залізничників ""РОКС"". Щирий український гумор для щирих людей. В кожному квиточку допомога Збройним силам України.",#Гумор ,440,700,2024-02-21 20:20:00
20,За 8 днів до весни,2024-02-24 19:00:00,123,!FESTrepublic,"м. Львів, вул. Старознесенська, 24-26",https://widget.kontramarka.ua/uk/widget11site11278/widget/event/91883?utm_referrer=lviv.kontramarka.ua/uk/za-8-dniv-do-vesni-86672.html&siteShowId=86672&siteEventId=186251,SVA STONE та ЮМ.UA З ГОРДIСТЮ ПРЕДСТАВЛЯЮТЬ:,,600,600,2024-02-24 21:03:00
21,Святослав Вакарчук. Благодійний вечір-концерт,2024-03-29 19:00:00,119,!FESTrepublic,"м. Львів, вул. Старознесенська, 24-26",https://widget.kontramarka.ua/uk/widget511site11281/widget/event/100161852?utm_referrer=lviv.kontramarka.ua/uk/svatoslav-vakarcuk-blagodijnij-vecirkoncert-89566.html&siteShowId=89566&siteEventId=194507,29 березня 2024 року в !FESTrepublic відбудеться концерт Святослава Вакарчука у Львові.,,850,4200,2024-03-29 20:59:00
22,«ПОЖЕЖА»,2024-04-20 18:00:00,80,!FESTrepublic,"м. Львів, вул. Старознесенська, 24-26",https://widget.kontramarka.ua/uk/widget508site1008/widget/event/100162058?utm_referrer=lviv.kontramarka.ua/uk/pozeza-89828.html&siteShowId=89828&siteEventId=195406,ПОЖЕЖА 2024: 12 ГАРЯЧИХ КОНЦЕРТІВ!,#Гумор ,490,1550,2024-04-20 19:20:00
23,MONATIK,2024-05-24 20:00:00,80,!FESTrepublic,"м. Львів, вул. Старознесенська, 24-26",,,,890,890,2024-05-24 21:20:00
24,The Tiger Lillies,2024-05-28 19:00:00,120,!FESTrepublic,"м. Львів, вул. Старознесенська, 24-26",https://widget.kontramarka.ua/uk/widget511site1001/widget/event/100162105?utm_referrer=lviv.kontramarka.ua/uk/the-tiger-lillies-81190.html&siteShowId=81190&siteEventId=195588,THE TIGER LILLIES ПОВЕРТАЮТЬСЯ ДО УКРАЇНИ!,,700,1100,2024-05-28 21:00:00
25,"Вівальді ""Пори року""",2024-01-31 19:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget11site12480/widget/event/91747?utm_referrer=lviv.kontramarka.ua/uk/vivaldi-pori-roku-78928.html&siteShowId=78928&siteEventId=186914,"У цій музиці, як і у природі, присутня вся гама почуттів – від життєрадісної весни до меланхолійної осені, від літньої грози до зимових вечорів біля теплого каміна.",#Класика ,100,250,2024-01-31 20:00:00
26,Музика Баха,2024-02-01 19:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget510site11290/widget/event/94812?utm_referrer=lviv.kontramarka.ua/uk/muzika-baha-vitalij-dvorovij-86995.html&siteShowId=86995&siteEventId=189511,"Відчуйте глибину, велич, віртуозність та лірику творів генія бароко в одному концерті. Почуйте довершені прелюдії, фуги, хорали та арії Баха, які звучать на найбільшому історичному органі України.",#Класика ,100,250,2024-02-01 20:00:00
27,Музика Баха,2024-02-11 17:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget510site11290/widget/event/96608?utm_referrer=lviv.kontramarka.ua/uk/muzika-baha-vitalij-dvorovij-86995.html&siteShowId=86995&siteEventId=191675,"Відчуйте глибину, велич, віртуозність та лірику творів генія бароко в одному концерті. Почуйте довершені прелюдії, фуги, хорали та арії Баха, які звучать на найбільшому історичному органі України.",#Класика ,100,250,2024-02-11 18:00:00
28,Старовинна органна музика при свічках,2024-02-01 21:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget510site11290/widget/event/94813?utm_referrer=lviv.kontramarka.ua/uk/starovinna-organna-muzika-pri-svickah-79456.html&siteShowId=79456&siteEventId=189508,"Вечір. Свічки. Орган. Це час, який варто провести віч-на-віч із музикою. Відкрийте свої серце і розум для музики. Почуйте її так, як її чули люди століття до нас, на особливому концерті Світлани Позднишевої.",#Класика ,100,250,2024-02-01 22:00:00
29,Старовинна органна музика при свічках,2024-02-21 21:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget510site11290/widget/event/94882?utm_referrer=lviv.kontramarka.ua/uk/starovinna-organna-muzika-pri-svickah-79456.html&siteShowId=79456&siteEventId=189634,"Вечір. Свічки. Орган. Це час, який варто провести віч-на-віч із музикою. Відкрийте свої серце і розум для музики. Почуйте її так, як її чули люди століття до нас, на особливому концерті Світлани Позднишевої.",#Класика ,100,250,2024-02-21 22:00:00
30,Старовинна органна музика при свічках,2024-03-09 21:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget510site11290/widget/event/98630?utm_referrer=lviv.kontramarka.ua/uk/starovinna-organna-muzika-pri-svickah-79456.html&siteShowId=79456&siteEventId=193946,"Вечір. Свічки. Орган. Це час, який варто провести віч-на-віч із музикою. Відкрийте свої серце і розум для музики. Почуйте її так, як її чули люди століття до нас, на особливому концерті Світлани Позднишевої.",#Класика ,100,250,2024-03-09 22:00:00
31,Старовинна органна музика при свічках,2024-03-16 19:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget510site11290/widget/event/98602?utm_referrer=lviv.kontramarka.ua/uk/starovinna-organna-muzika-pri-svickah-79456.html&siteShowId=79456&siteEventId=193939,"Вечір. Свічки. Орган. Це час, який варто провести віч-на-віч із музикою. Відкрийте свої серце і розум для музики. Почуйте її так, як її чули люди століття до нас, на особливому концерті Світлани Позднишевої.",#Класика ,100,250,2024-03-16 20:00:00
32,Блискуча органна класика. Олена Мацелюх,2024-02-02 19:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget510site11290/widget/event/97090?utm_referrer=lviv.kontramarka.ua/uk/bliskuca-organna-klasika-olena-maceluh-88814.html&siteShowId=88814&siteEventId=192228,Блискуча органна класика – це канонічне звучання органа в неповторній атмосфері Львівського органного залу!,#Класика ,100,250,2024-02-02 20:00:00
33,Звуки ангелів при свічках,2024-02-02 21:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget510site11290/widget/event/94814?utm_referrer=lviv.kontramarka.ua/uk/zvuki-angeliv-hor-gomin-79455.html&siteShowId=79455&siteEventId=189506,"“Приголомшливо красива”, “надзвичайно зворушлива”, “звуки ангелів”, “чиста елегантність”, “так звучить північне сяйво”...",#Класика ,100,250,2024-02-02 22:00:00
34,Звуки ангелів при свічках,2024-03-15 19:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget510site11290/widget/event/98600?utm_referrer=lviv.kontramarka.ua/uk/zvuki-angeliv-hor-gomin-79455.html&siteShowId=79455&siteEventId=193937,"“Приголомшливо красива”, “надзвичайно зворушлива”, “звуки ангелів”, “чиста елегантність”, “так звучить північне сяйво”...",#Класика ,100,250,2024-03-15 20:00:00
35,"Виставка ""Анатомія звуку""",2024-02-03 13:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget510site11290/widget/event/99548?utm_referrer=lviv.kontramarka.ua/uk/vistavka-anatomia-zvuku-89712.html&siteShowId=89712&siteEventId=195014,Нова експозиція “Анатомія звуку” у Галереї органного.,#Класика ,30,30,2024-02-03 14:00:00
36,Симфонічний концерт. Такуя Шігешіта,2024-02-03 19:00:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget510site11290/widget/event/96385?utm_referrer=lviv.kontramarka.ua/uk/simfonicnij-koncert-takua-sigesita-88539.html&siteShowId=88539&siteEventId=191370,"Найвідоміший твір симфонічної музики. Культовий мотив з чотирьох нот, який ще називають “мотивом долі, що стукає у двері”.",#Класика ,100,250,2024-02-03 20:00:00
37,Органна музика бароко,2024-02-04 14:15:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget510site11290/widget/event/94815?utm_referrer=lviv.kontramarka.ua/uk/organna-muzika-baroko-79304.html&siteShowId=79304&siteEventId=189503,"Музика бароко створена, щоб насолоджуватися дарунками життя, мистецтва і природи. Глибокий “Великий діалог” Луї Маршана, потужні голоси Прелюдії Йоганна Пахельбеля і, звичайно, вічні істини Йоганна Себастьяна Баха, закодовані в його пасторалях, фантазіях та фугах.",#Класика ,100,250,2024-02-04 15:15:00
38,Органна музика бароко,2024-02-11 14:15:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget510site11290/widget/event/94820?utm_referrer=lviv.kontramarka.ua/uk/organna-muzika-baroko-79304.html&siteShowId=79304&siteEventId=189504,"Музика бароко створена, щоб насолоджуватися дарунками життя, мистецтва і природи. Глибокий “Великий діалог” Луї Маршана, потужні голоси Прелюдії Йоганна Пахельбеля і, звичайно, вічні істини Йоганна Себастьяна Баха, закодовані в його пасторалях, фантазіях та фугах.",#Класика ,100,250,2024-02-11 15:15:00
39,Органна музика бароко,2024-03-03 14:15:00,60,Львівський органний зал,"м. Львів, вул. Степана Бандери, 8",https://widget.kontramarka.ua/uk/widget510site11290/widget/event/98517?utm_referrer=lviv.kontramarka.ua/uk/organna-muzika-baroko-79304.html&siteShowId=79304&siteEventId=193802,"Музика бароко створена, щоб насолоджуватися дарунками життя, мистецтва і природи. Глибокий “Великий діалог” Луї Маршана, потужні голоси Прелюдії Йоганна Пахельбеля і, звичайно, вічні істини Йоганна Себастьяна Баха, закодовані в його пасторалях, фантазіях та фугах.",#Класика ,100,250,2024-03-03 15:15:00
40,"РІЗДВЯНИЙ КОНЦЕРТ ""ЯКОСЬ НА СВЯТВЕЧІР""",2024-02-04 17:00:00,90,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97396?utm_referrer=lviv.kontramarka.ua/uk/rizdvanij-koncert-akos-na-svatvecir-87184.html&siteShowId=87184&siteEventId=192803,"Саме у Святвечір ми збираємося у колі родини, прагнемо стати кращими, намагаємося допомогти тим, що потребують допомоги, адже добро робить людей сильнішими та щасливішими. Віра у дива у цей вечір надихає, підносить настрій і перелаштовує думки на позитив.Львів та його вулички перетворюється на казковий вертеп, де лунає дзвінка коляда, де здійснюються бажання та панує особлива різдвяна містерія. Запрошуємо до нас на коляду, адже це найкращий спосіб зустріти свята мелодіями, які знаємо з дитинства. Приходьте до нас – колядуватимемо разом!",,90,490,2024-02-04 18:30:00
41,ТАРАС ПЕТРИНЕНКО та ТЕТЯНА ГОРОБЕЦЬ. ЮВІЛЕЙ ПІД СИРЕНАМИ,2024-02-26 19:00:00,120,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget508site1001/widget/event/100161341?utm_referrer=lviv.kontramarka.ua/uk/taras-petrinenko-ta-tetana-gorobec-uvilej-pid-sirenami-79971.html&siteShowId=79971&siteEventId=192334,"Великий сольний концерт Тараса Петриненка, за участі Тетяни Горобець та гурту ""Гроно"".",,300,840,2024-02-26 21:00:00
42,"Іво Бобул та Лілія Сандулеса ""Берег любові через роки""",2024-03-04 16:30:00,120,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget511site1001/widget/event/100161997?utm_referrer=lviv.kontramarka.ua/uk/ivo-bobul-ta-lilia-sandulesa-bereg-lubovi-cerez-roki-89803.html&siteShowId=89803&siteEventId=195339,Після 20-річного розриву Іво Бобул та Ліля Сандулеса разом виступлять у Львові із двома концертами,,350,850,2024-03-04 18:30:00
43,CHEEV,2024-02-14 19:00:00,120,Львівський Цирк,"вул. Городоцька, 83, Львів",https://widget.kontramarka.ua/uk/widget508site1001/widget/event/100161706?utm_referrer=lviv.kontramarka.ua/uk/cheev-89364.html&siteShowId=89364&siteEventId=193905,14 лютого 2024 року у Львівському державному цирку відбудеться концерт CHEEV.,,400,1200,2024-02-14 21:00:00
44,Світлана Весна - Мій рідний край,2024-02-25 17:00:00,90,Центр Довженка,"пр-т Червоної Калини, 81",https://widget.kontramarka.ua/uk/widget11site12595/widget/event/99061?utm_referrer=lviv.kontramarka.ua/uk/svitlana-vesna-mij-ridnij-kraj-lviv-89602.html&siteShowId=89602&siteEventId=194671,,,150,350,2024-02-25 18:30:00
45,Стосунки під ковдрою,2024-02-09 19:00:00,120,Coworking Futura,"вул. Кульпарківська, 200 А",https://widget.kontramarka.ua/uk/widget508site1001/widget/event/100161898?utm_referrer=lviv.kontramarka.ua/uk/stosunki-pid-kovdrou-89643.html&siteShowId=89643&siteEventId=194833,Психологічний центр Balance запрошує на довірливу бесіду у дружній атмосфері. Подія відбудеться в рамках проєкту «Стосунки під ковдрою». Тема зустрічі цього разу – «Чому люди зраджують». Корисну і змістовну лекцію проведуть професійні психологині Зоряна Кручак та Анна Козіна.,,450,450,2024-02-09 21:00:00
46,Людмила Шупенюк,2024-02-10 15:00:00,120,Львівський Будинок Офіцерів,"вулиця Театральна, 22, 1",https://widget.kontramarka.ua/uk/widget508site1001/widget/event/100161897?utm_referrer=lviv.kontramarka.ua/uk/ludmila-supenuk-89641.html&siteShowId=89641&siteEventId=194831,"Лекція Шупенюк Людмили """"Здоров'я Жінки: Все, що ви хотіли знати від Гінеколога""""",,250,500,2024-02-10 17:00:00
47,Дзяди,2024-01-30 16:30:00,120,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget511site1001/widget/event/100160246?utm_referrer=lviv.kontramarka.ua/uk/dzadi-87493.html&siteShowId=87493&siteEventId=188695,"Перша робота топової режисерки Польщі Майї Клечевської на основі поеми Адама Міцкевича «Дзяди» з акторами Франківського драмтеатру має антиросійський дискурс та чіткий безапеляційний меседж до тих, хто досі каже «Це не наша війна» або «Я пацифіст».",,590,590,2024-01-30 18:30:00
48,"Я, ПОБЄДА І БЕРЛІН",2024-01-30 19:00:00,120,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",,"""Я, ""Побєда"" і Берлін"" – роуд-муві сповнена іронії над собою, над 90-ми роками в Україні, кордоном, пригодами українців в Берліні та всім, що лише траплялося на очі чи під руку Кузьмі. Злегка божевільна, як ті роки, з усією безшабашністю молодості і водночас самоіронічна.",,490,490,2024-01-30 21:00:00
